##########################																						
# BLAST-Pol "bolo table" 2012																						
#																						
# Most recent updates in each category:																						
#   - to noise fit (WhiteNoise, 1/f, alpha):  SJB 18 Dec 2013																						
#   - to pixel offsets (EL, XEL):             JAS 20 Oct 2013																						
# Chi_250	0																					
# Chi_350	0																					
# Chi_500	0																					
Name	N	C	Type	EL	XEL	Angle	pix	LR1	LR2	CRJ	BW	Resp.	S	WhiteNoise	1/f	Res.	Chi	p_eff	q_ip	u_ip	alpha	Old																						
B2J08H	21	12	250	-194.28955	-45.025196	0	J08	8.88	8.88	0	0	1	0	3.8692012e-06	0.063909063	1.73	12	1	-0.0002	-0.0068	1.5348975	N10C12
B2J09V	21	16	250	-196.79975	-102.40641	90	J09	8.88	8.92	0	0	1	0	3.5703779e-06	0.054388935	1.81	12	1	0.0058	-0.0161	1.7864029	N10C16
B2J10H	21	21	250	-199.56932	-157.65746	0	J10	8.88	8.92	0	0	1	0	3.9612861e-06	0.060065196	1.96	12	1	0.0066	-0.0073	1.6734802	N10C21
B2J11V	17	1	250	-203.05931	-214.56831	90	J11	8.88	8.88	0	0	1	0	3.8448914e-06	0.098881719	1.81	12	1	0.0145	-0.0083	1.0699306	N8C1
B2J12H	17	7	250	-204.62054	-270.3364	0	J12	8.92	9	0	0	1	0	4.3580801e-06	0.068011908	1.94	12	1	0.0056	-0.0129	1.5282885	N8C7
B2J13V	17	12	250	-207.01382	-327.63459	90	J13	8.96	8.92	0	0	1	0	4.1307224e-06	0.064416071	2.05	12	1	0.0142	-0.0108	1.4628583	N8C12
B2J14H	17	15	250	-209.14504	-382.45358	0	J14	9.03	9.04	0	0	1	0	4.8479557e-06	0.068331535	2.21	12	1	0.0056	-0.0167	1.5489254	N8C15
B2J15V	17	18	250	-213.06158	-440.76087	90	J15	9.02	9.04	0	0	1	0	4.9179497e-06	0.075127572	2.33	12	1	0.0121	0.0028	1.3998573	N8C18
B2R1	22	0	R250	0	0	90	R01	8.44	8.44	0	0	1	0	0	0	nan	12	1	0	0	1	N6C0
B2T1	22	2	T250	0	0	90	T01	8.46	8.4	0	0	1	0	0	0	2.12	12	1	0	0	1	N6C2
B2T2	18	2	T250	0	0	90	T02	8.84	8.96	0	0	1	0	0	0	2.22	12	1	0	0	1	N9C2
B3A01V	27	21	B350	176.67	456.92	90	A01	7.76	7.8	0	0	1	0	6.473242e-06	17.427115	2.07	8	1	0	0	0.61999386	N11C21
B3A02H	27	18	350	186.97572	369.66504	0	A02	7.72	7.76	0	0	1	0	3.2127634e-06	0.10263532	nan	8	1	0.0063	-0.0552	1.0587788	N11C18
B3A03V	27	17	350	193.73368	294.02526	90	A03	7.72	7.76	0	0	1	0	3.2031123e-06	0.05857718	1.91	8	1	0.0091	0.0263	1.5694262	N11C17
B3A04H	27	11	350	192.54288	220.02135	0	A04	7.68	7.76	0	0	1	0	2.9279543e-06	0.086844664	1.83	8	1	-0.009	-0.0287	1.3531439	N11C11
